CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	0.1%RVIS	0.1%RVIS%	EdgeCase	OEratio%tile
FBXO6	FBXO6	FBXO6	FBXO6	FBXO6	0.352813824	74.49280491	N	34.22066972
MAD2L2	MAD2L2	MAD2L2	MAD2L2	MAD2L2	0.058937498	58.26256192	Y	7.257287401
C1orf187	DRAXIN	DRAXIN	DRAXIN	DRAXIN	1.219937511	93.19414956	N	Unassessed
AGTRAP	AGTRAP	AGTRAP	AGTRAP	AGTRAP	-0.115612493	45.12856806	N	65.93591906
MTHFR	MTHFR	MTHFR	MTHFR	MTHFR	0.093718683	60.71007313	N	29.91447844
CLCN6	CLCN6	CLCN6	CLCN6	CLCN6	-1.570776628	3.172918141	N	31.06480366
NPPA	NPPA	NPPA	NPPA	NPPA	0.859896574	88.62349611	N	87.87039268
NPPB	NPPB	NPPB	NPPB	NPPB	0.525552348	80.57914603	N	76.96338232
PLOD1	PLOD1	PLOD1	PLOD1	PLOD1	-0.657684922	16.09459778	N	64.18332932
MIIP	MIIP	MIIP	MIIP	MIIP	0.69078985	85.23826374	N	68.13418453
TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8	0.181903047	66.2361406	N	47.06697181
TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B	0.086440867	60.47416844	N	44.88677427
DHRS3	DHRS3	DHRS3	DHRS3	DHRS3	-0.337894035	30.37272942	N	11.78631655
C1orf158	C1orf158	C1orf158	C1orf158	C1orf158	1.216305531	93.13517339	N	68.34497711
PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1	1.668219306	96.30219391	N	79.24596483
PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2	5.208541975	99.84076433	N	67.85714286
PRDM2	PRDM2	PRDM2	PRDM2	PRDM2	-0.553188106	19.81009672	N	65.7552397
KAZN	KAZN	KAZN	KAZN	KAZN	-0.506987379	21.76810569	N	25.58419658
TMEM51	TMEM51	TMEM51	TMEM51	TMEM51	-0.337894035	30.37272942	N	75.52999277
EFHD2	EFHD2	EFHD2	EFHD2	EFHD2	-0.161524709	41.6430762	Y	21.68152252
CTRC	CTRC	CTRC	CTRC	CTRC	0.016664174	55.21939137	Y	82.32955914
CELA2A	CELA2A	CELA2A	CELA2A	CELA2A	-0.446304853	24.33356924	N	57.38376295
CASP9	CASP9	CASP9	CASP9	CASP9	0.821252311	88.01604152	N	36.48518429
AGMAT	AGMAT	AGMAT	AGMAT	AGMAT	0.108486928	61.90728946	N	34.50373404
RSC1A1	RSC1A1	RSC1A1	RSC1A1	RSC1A1	1.067416815	91.66666667	N	87.6596001
SLC25A34	SLC25A34	SLC25A34	SLC25A34	SLC25A34	-0.113792788	45.25831564	N	85.75644423
FBLIM1	FBLIM1	FBLIM1	FBLIM1	FBLIM1	0.510776592	80.23708422	N	64.21344254
SPEN	SPEN	SPEN	SPEN	SPEN	-2.307490096	1.209011559	N	42.38135389
ZBTB17	ZBTB17	ZBTB17	ZBTB17	ZBTB17	-0.688817379	15.20405756	N	4.926523729
C1orf64	C1orf64	C1orf64	C1orf64	C1orf64	0.193034296	66.82000472	Y	18.99542279
CLCNKA	CLCNKA	CLCNKA	CLCNKA	CLCNKA	1.539567688	95.57678698	N	49.33148639
CLCNKB	CLCNKB	CLCNKB	CLCNKB	CLCNKB	0.698081425	85.30313753	N	52.83666586
EPHA2	EPHA2	EPHA2	EPHA2	EPHA2	-0.628385276	16.82000472	N	28.76415322
ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	1.001272896	90.72304789	N	74.24114671
RSG1	RSG1	RSG1	RSG1	RSG1	-0.115612493	45.12856806	N	92.38737654
SPATA21	SPATA21	SPATA21	SPATA21	SPATA21	1.311772884	94.03750885	N	67.59214647
NECAP2	NECAP2	NECAP2	NECAP2	NECAP2	0.639420866	83.8995046	N	34.5519152
MFAP2	MFAP2	MFAP2	MFAP2	MFAP2	-0.185391282	39.67916962	Y	32.96193688
ATP13A2	ATP13A2	ATP13A2	ATP13A2	ATP13A2	-1.159397299	6.098136353	N	27.35485425
SDHB	SDHB	SDHB	SDHB	SDHB	0.527368849	80.73248408	N	26.31895929
PADI2	PADI2	PADI2	PADI2	PADI2	-0.50335344	21.80938901	N	25.90941942
PADI1	PADI1	PADI1	PADI1	PADI1	-0.459259448	23.69072895	N	81.5104794
PADI3	PADI3	PADI3	PADI3	PADI3	1.851941967	97.1455532	N	90.26740544
PADI4	PADI4	PADI4	PADI4	PADI4	2.230515739	98.17173862	N	60.92507829
RCC2	RCC2	RCC2	RCC2	RCC2	-0.670411825	15.61689078	N	8.070344495
ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	-0.755258792	13.4524652	N	36.10575765
ACTL8	ACTL8	ACTL8	ACTL8	ACTL8	-0.067881249	48.69072895	N	30.09515779
IGSF21	IGSF21	IGSF21	IGSF21	IGSF21	-0.596992387	18.18825195	N	37.82823416
KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A	3.140446476	99.29228592	N	83.45579378
PAX7	PAX7	PAX7	PAX7	PAX7	-1.109541557	6.782259967	N	23.34979523
TAS1R2	TAS1R2	TAS1R2	TAS1R2	TAS1R2	1.036106017	91.12998349	N	41.37557215
ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1	0.207589927	67.52182118	N	50.66851361
UBR4	UBR4	UBR4	UBR4	UBR4	-7.504914615	0.011795235	N	19.7301855
MRTO4	MRTO4	MRTO4	MRTO4	MRTO4	-0.337894035	30.37272942	N	36.17802939
AKR7A3	AKR7A3	AKR7A3	AKR7A3	AKR7A3	1.888739204	97.30478887	N	55.16742954
AKR7A2	AKR7A2	AKR7A2	AKR7A2	AKR7A2	0.709197509	85.68058504	N	69.3567815
PQLC2	PQLC2	PQLC2	PQLC2	PQLC2	0.174625237	65.9648502	N	14.32185016
NBL1	NBL1	NBL1	NBL1	NBL1	0.014844891	54.94810097	Y	15.48422067
HTR6	HTR6	HTR6	HTR6	HTR6	-0.648365105	16.35999056	N	20.70585401
TMCO4	TMCO4	TMCO4	TMCO4	TMCO4	0.45374373	78.05496579	N	64.40014454
RNF186	RNF186	RNF186	RNF186	RNF186	0.685332364	85.09672092	N	85.77451217
PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E	0.12689526	63.00424628	Y	14.91206938
PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A	0.014844891	54.94810097	Y	46.85015659
PLA2G5	PLA2G5	PLA2G5	PLA2G5	PLA2G5	-0.317668748	31.45789101	Y	33.52204288
PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D	1.104245073	91.95564992	N	44.23030595
PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F	0.193034296	66.82000472	Y	41.82727054
UBXN10	UBXN10	UBXN10	UBXN10	UBXN10	-0.227663163	37.11370606	Y	98.31365936
CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	0.101211609	60.95777306	N	Unassessed
MUL1	MUL1	MUL1	MUL1	MUL1	0.020302773	55.60863411	N	52.39099012
CDA	CDA	CDA	CDA	CDA	-0.249709319	35.74545883	N	47.66923633
PINK1	PINK1	PINK1	PINK1	PINK1	-0.462894052	23.62585515	N	69.83257046
DDOST	DDOST	DDOST	DDOST	DDOST	-0.400392389	26.85185185	N	40.37581306
KIF17	KIF17	KIF17	KIF17	KIF17	0.841339968	88.30502477	N	78.74608528
EIF4G3	EIF4G3	EIF4G3	EIF4G3	EIF4G3	0.299418187	71.70323189	N	48.72922187
ECE1	ECE1	ECE1	ECE1	ECE1	-0.685180376	15.32200991	N	41.5020477
NBPF3	NBPF3	NBPF3	NBPF3	NBPF3	3.60019308	99.52819061	N	96.44061672
ALPL	ALPL	ALPL	ALPL	ALPL	7.61128E-05	53.98089172	N	26.19248374
RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	-0.725642751	14.24274593	N	19.98915924
CELA3B	CELA3B	CELA3B	CELA3B	CELA3B	1.732552414	96.59707478	N	82.20910624
CELA3A	CELA3A	CELA3A	CELA3A	CELA3A	-0.356299879	29.31115829	N	28.17995664
CDC42	CDC42	CDC42	CDC42	CDC42	-0.09720619	46.20193442	Y	0.415562515
WNT4	WNT4	WNT4	WNT4	WNT4	-0.824740496	11.67728238	N	5.932305469
ZBTB40	ZBTB40	ZBTB40	ZBTB40	ZBTB40	-0.637452658	16.73743808	N	68.05589015
EPHA8	EPHA8	EPHA8	EPHA8	EPHA8	0.130330208	63.21066289	N	59.4314623
C1QA	C1QA	C1QA	C1QA	C1QA	-0.139478553	43.29440906	Y	46.79595278
C1QC	C1QC	C1QC	C1QC	C1QC	-0.582225231	18.44184949	N	42.09828957
C1QB	C1QB	C1QB	C1QB	C1QB	-0.049474214	50.01179523	N	5.763671404
EPHB2	EPHB2	EPHB2	EPHB2	EPHB2	-1.456898556	3.862939372	N	15.37581306
HTR1D	HTR1D	HTR1D	HTR1D	HTR1D	-0.53631094	20.53550366	N	58.90146953
HNRNPR	HNRNPR	HNRNPR	HNRNPR	HNRNPR	-0.449946534	24.00330267	Y	2.836665864
ZNF436	ZNF436	ZNF436	ZNF436	ZNF436	-0.47017169	23.25430526	N	91.05034931
ASAP3	ASAP3	ASAP3	ASAP3	ASAP3	-0.192882212	39.25454117	N	64.50252951
E2F2	E2F2	E2F2	E2F2	E2F2	1.218120595	93.15876386	N	56.23946037
ID3	ID3	ID3	ID3	ID3	0.527368849	80.73248408	N	35.59985546
RPL11	RPL11	RPL11	RPL11	RPL11	-0.053113545	49.38664779	Y	1.318959287
TCEB3	TCEB3	TCEB3	TCEB3	TCEB3	0.958999345	90.17456947	N	65.18308841
LYPLA2	LYPLA2	LYPLA2	LYPLA2	LYPLA2	-0.295622497	32.61972163	Y	2.445193929
GALE	GALE	GALE	GALE	GALE	-0.556537043	19.72753008	N	62.49096603
HMGCL	HMGCL	HMGCL	HMGCL	HMGCL	-0.60427181	17.74593064	N	11.26234642
FUCA1	FUCA1	FUCA1	FUCA1	FUCA1	0.663285274	84.55414013	N	54.63743676
CNR2	CNR2	CNR2	CNR2	CNR2	0.086440867	60.47416844	N	19.56757408
IL22RA1	IL22RA1	IL22RA1	IL22RA1	IL22RA1	0.714657953	85.81623024	N	41.74295351
IL28RA	IFNLR1	IFNLR1	IFNLR1	IFNLR1	-0.089927255	46.99221515	N	Unassessed
GRHL3	GRHL3	GRHL3	GRHL3	GRHL3	0.538284722	81.08634112	N	66.53216093
C1orf201	STPG1	STPG1	STPG1	STPG1	0.418953042	77.06416608	N	Unassessed
RCAN3	RCAN3	RCAN3	RCAN3	RCAN3	-0.139478553	43.29440906	Y	13.46663455
SRRM1	SRRM1	SRRM1	SRRM1	SRRM1	-0.929520514	9.683887709	N	34.76873043
CLIC4	CLIC4	CLIC4	CLIC4	CLIC4	-0.229483771	36.86010852	Y	19.89279692
RUNX3	RUNX3	RUNX3	RUNX3	RUNX3	-0.271755481	34.31823543	N	13.53890629
SYF2	SYF2	SYF2	SYF2	SYF2	0.415317661	76.81056853	N	34.51577933
C1orf63	C1orf63	C1orf63	C1orf63	C1orf63	0.905808022	89.4373673	N	72.74753072
RHD	RHD	RHD	RHD	RHD	3.311471185	99.41613588	N	80.5227656
TMEM50A	TMEM50A	TMEM50A	TMEM50A	TMEM50A	0.169169615	65.33380514	Y	20.31438208
MAN1C1	MAN1C1	MAN1C1	MAN1C1	MAN1C1	-0.466531444	23.51380042	N	35.19633823
C1orf135	AUNIP	AUNIP	AUNIP	AUNIP	0.284856336	71.40835103	N	Unassessed
PAQR7	PAQR7	PAQR7	PAQR7	PAQR7	-0.157884861	42.05590941	N	51.66225006
STMN1	STMN1	STMN1	STMN1	STMN1	0.279402865	70.86577023	Y	5.745603469
PAFAH2	PAFAH2	PAFAH2	PAFAH2	PAFAH2	-0.402212257	26.7338995	N	87.90652855
EXTL1	EXTL1	EXTL1	EXTL1	EXTL1	0.714657953	85.81623024	N	80.52878824
SLC30A2	SLC30A2	SLC30A2	SLC30A2	SLC30A2	0.106667882	61.73036093	N	53.43893038
TRIM63	TRIM63	TRIM63	TRIM63	TRIM63	-0.400392389	26.85185185	N	54.85425199
PDIK1L	PDIK1L	PDIK1L	PDIK1L	PDIK1L	-0.141298762	42.87567823	Y	0.319200193
CNKSR1	CNKSR1	CNKSR1	CNKSR1	CNKSR1	0.516238257	80.33734371	N	82.76921224
CEP85	CEP85	CEP85	CEP85	CEP85	-0.108334733	45.57088936	N	63.19561551
SH3BGRL3	SH3BGRL3	SH3BGRL3	SH3BGRL3	SH3BGRL3	0.035072054	56.2514744	Y	32.49819321
ZNF683	ZNF683	ZNF683	ZNF683	ZNF683	1.091286379	91.89667374	N	43.83281137
LIN28A	LIN28A	LIN28A	LIN28A	LIN28A	-0.295622497	32.61972163	Y	90.72512648
DHDDS	DHDDS	DHDDS	DHDDS	DHDDS	-0.093566408	46.7386176	N	67.20067454
HMGN2	HMGN2	HMGN2	HMGN2	HMGN2	0.057118534	57.99716914	Y	15.53842448
RPS6KA1	RPS6KA1	RPS6KA1	RPS6KA1	RPS6KA1	-1.065444789	7.425100259	N	7.160925078
ARID1A	ARID1A	ARID1A	ARID1A	ARID1A	-2.670076378	0.743099788	N	24.40375813
PIGV	PIGV	PIGV	PIGV	PIGV	-0.402212257	26.7338995	N	82.86557456
SFN	SFN	SFN	SFN	SFN	-0.229483771	36.86010852	Y	69.12189834
GPN2	GPN2	GPN2	GPN2	GPN2	0.040529541	57.15380986	N	88.87015177
GPATCH3	GPATCH3	GPATCH3	GPATCH3	GPATCH3	-0.554717505	19.79830149	N	91.32739099
NR0B2	NR0B2	NR0B2	NR0B2	NR0B2	-0.025608647	51.91672564	N	91.93567815
NUDC	NUDC	NUDC	NUDC	NUDC	-0.516085732	21.20193442	N	42.94145989
C1orf172	C1orf172	C1orf172	C1orf172	C1orf172	-0.066061882	48.77919321	N	55.9503734
FAM46B	FAM46B	FAM46B	FAM46B	FAM46B	-0.468351206	23.42533616	N	72.83787039
SLC9A1	SLC9A1	SLC9A1	SLC9A1	SLC9A1	-1.618506764	2.925218212	N	10.76848952
WDTC1	WDTC1	WDTC1	WDTC1	WDTC1	-0.44448505	24.46331682	N	10.14815707
TMEM222	TMEM222	TMEM222	TMEM222	TMEM222	-0.117432389	44.89266336	Y	51.493616
SYTL1	SYTL1	SYTL1	SYTL1	SYTL1	-0.268115223	34.70747818	N	56.30570947
MAP3K6	MAP3K6	MAP3K6	MAP3K6	MAP3K6	0.369203982	74.77589054	N	60.58178752
FCN3	FCN3	FCN3	FCN3	FCN3	0.308721233	72.59966973	N	62.58130571
CD164L2	CD164L2	CD164L2	CD164L2	CD164L2	0.148941568	64.31941496	Y	21.98867743
GPR3	GPR3	GPR3	GPR3	GPR3	0.060756528	58.52795471	Y	16.63454589
WASF2	WASF2	WASF2	WASF2	WASF2	-0.003562597	53.72729417	N	42.15249338
FGR	FGR	FGR	FGR	FGR	-0.890882376	10.30313753	N	12.58732835
FAM76A	FAM76A	FAM76A	FAM76A	FAM76A	-0.163345027	41.24793583	Y	57.41989882
STX12	STX12	STX12	STX12	STX12	-0.075159878	47.78839349	Y	85.0457721
PPP1R8	PPP1R8	PPP1R8	PPP1R8	PPP1R8	-0.117432389	44.89266336	Y	2.517465671
RPA2	RPA2	RPA2	RPA2	RPA2	0.25917371	70.05779665	Y	88.84003854
XKR8	XKR8	XKR8	XKR8	XKR8	-0.60427181	17.74593064	N	89.98434112
EYA3	EYA3	EYA3	EYA3	EYA3	-0.648365105	16.35999056	N	31.17923392
PTAFR	PTAFR	PTAFR	PTAFR	PTAFR	0.661468037	84.4420854	N	32.94989159
ATPIF1	ATPIF1	ATPIF1	ATPIF1	ATPIF1	0.080983847	59.76055674	Y	99.8795471
SESN2	SESN2	SESN2	SESN2	SESN2	-0.666770504	15.86459071	N	32.84750662
MED18	MED18	MED18	MED18	MED18	-0.073340031	48.11866006	Y	54.30016863
RCC1	RCC1	RCC1	RCC1	RCC1	-0.558357437	19.54470394	N	7.215128885
TRNAU1AP	TRNAU1AP	TRNAU1AP	TRNAU1AP	TRNAU1AP	-0.227663163	37.11370606	Y	17.40544447
RAB42	RAB42	RAB42	RAB42	RAB42	0.72397987	85.91648974	N	99.67477716
TAF12	TAF12	TAF12	TAF12	TAF12	0.169169615	65.33380514	Y	48.41002168
GMEB1	GMEB1	GMEB1	GMEB1	GMEB1	-0.47017169	23.25430526	N	46.08528066
OPRD1	OPRD1	OPRD1	OPRD1	OPRD1	-0.139478553	43.29440906	Y	12.74391713
EPB41	EPB41	EPB41	EPB41	EPB41	-0.596992387	18.18825195	N	63.46663455
SRSF4	SRSF4	SRSF4	SRSF4	SRSF4	0.064394823	58.84642604	N	37.29824139
PTPRU	PTPRU	PTPRU	PTPRU	PTPRU	-1.780505741	2.282377919	N	25.33726813
MATN1	MATN1	MATN1	MATN1	MATN1	-0.754958418	13.57631517	N	43.80269815
LAPTM5	LAPTM5	LAPTM5	LAPTM5	LAPTM5	0.284856336	71.40835103	N	73.20525175
PUM1	PUM1	PUM1	PUM1	PUM1	-1.017713296	8.103326256	N	10.3649723
NKAIN1	NKAIN1	NKAIN1	NKAIN1	NKAIN1	0.058937498	58.26256192	Y	21.35629969
SNRNP40	SNRNP40	SNRNP40	SNRNP40	SNRNP40	-0.361761279	28.6329323	Y	8.124548302
ZCCHC17	ZCCHC17	ZCCHC17	ZCCHC17	ZCCHC17	0.058937498	58.26256192	Y	92.19465189
FABP3	FABP3	FABP3	FABP3	FABP3	0.191216164	66.57230479	Y	56.73331727
TINAGL1	TINAGL1	TINAGL1	TINAGL1	TINAGL1	-0.690637458	15.12149092	N	23.63285955
HCRTR1	HCRTR1	HCRTR1	HCRTR1	HCRTR1	0.154398214	64.73814579	N	39.05083113
PEF1	PEF1	PEF1	PEF1	PEF1	-0.271755481	34.31823543	N	65.20115635
BAI2	BAI2	BAI2	BAI2	BAI2	-1.517642441	3.467799009	N	15.34569983
SPOCD1	SPOCD1	SPOCD1	SPOCD1	SPOCD1	1.451368496	95.15215853	N	81.8838834
PTP4A2	PTP4A2	PTP4A2	PTP4A2	PTP4A2	-0.009020804	52.8544468	Y	13.00289087
KHDRBS1	KHDRBS1	KHDRBS1	KHDRBS1	KHDRBS1	-0.251530012	35.42108988	Y	3.32450012
TMEM39B	TMEM39B	TMEM39B	TMEM39B	TMEM39B	-0.824740496	11.67728238	N	10.61190075
KPNA6	KPNA6	KPNA6	KPNA6	KPNA6	-0.449946534	24.00330267	Y	5.57094676
TXLNA	TXLNA	TXLNA	TXLNA	TXLNA	-0.290161348	33.33923095	N	38.40038545
CCDC28B	CCDC28B	CCDC28B	CCDC28B	CCDC28B	0.25917371	70.05779665	Y	91.18887015
IQCC	IQCC	IQCC	IQCC	IQCC	7.61128E-05	53.98089172	N	94.60370995
