GENE	ALL_0.01%	%ALL_0.01%	ALL_0.1%	%ALL_0.1%	ALL_1%	%ALL_1%	PP2_ALL_0.1%	%PP2_ALL_0.1%	EA_0.1%	%EA_0.1%	EA_1%	%EA_1%	AA_0.1%	%AA_0.1%	AA_1%	%AA_1%	OEratio	%OEratio	%ExAC_0.1%popn	%ExAC_0.05%popn	%ExAC_0.01%
AKNAD1	2.37	98.18	0.83	88.11	1.14	92.63	-0.22	32.22	1.49	95.08	1.73	96.17	1.44	95.09	2.02	97.17	NA	NA	86.63	96.08	92.07
AKR1A1	-0.17	43.88	0.31	72.6	0.51	78.4	0.4	79.26	0.79	87.3	0.08	66.58	-0.18	38.03	-0.75	12.68	NA	NA	71.12	59.92	74.44
AKR7A2	1.84	96.64	0.71	85.68	0.06	53.71	0.62	87.27	-0.34	31.36	-0.15	46.2	1.34	94.37	1.59	95.57	NA	NA	91.61	90.07	93.54
AKR7A3	0.83	88.82	1.89	97.3	1.28	94.16	0.4	79.35	0.22	67.66	0.78	87.91	1.65	96.41	2.86	98.91	NA	NA	93.86	93.83	91.55
AKT3	-0.15	45.9	-0.25	35.42	-0.6	18.36	0.04	52.37	-0.12	46.17	-0.07	55.41	-0.31	30.41	-0.21	40.71	-2.15	3.51	19.63	19.11	20.57
ALDH4A1	1.04	91.33	0.21	67.52	-0.31	30.8	0.26	71.49	-0.23	37.84	0.55	83.12	0.42	75.88	0.29	74.29	NA	NA	56.71	74.08	89.72
ALDH9A1	0.05	63.1	-0.02	52.15	0.67	84.01	-0.12	38.99	1.22	93.12	0.17	69.79	0.5	79.03	-0.25	36.93	NA	NA	89.91	75.95	91.95
ALG14	-0.18	43.45	0.19	66.82	0.19	62.24	0.29	73.88	0.57	81.74	0.42	79.89	0.08	57.16	-0.27	35.97	0.94	86.45	59.74	61.74	53.21
ALG6	1.06	91.55	0.29	71.5	0.33	70.31	-0.19	34.15	0.11	61.7	0.95	90.55	0.35	72.77	0.59	83.48	NA	NA	74.57	73.10	65.13
ALPL	0.46	80.91	7.61E-05	53.98	-0.34	29.11	-0.41	21.7	0.47	78.39	0.7	86.3	0.01	51.24	0.52	81.96	NA	NA	25.34	17.13	24.37
ALX3	-0.31	33.12	-0.25	35.75	-0.47	23.35	-0.15	37.38	-0.56	20.63	-0.34	31.62	-0.12	42.85	-0.24	38.27	NA	NA	38.10	33.87	32.58
AMIGO1	-0.28	35.17	0.04	56.92	0.05	53.05	0.46	81.99	0.43	77.45	-0.19	43.65	-0.06	46.82	0.03	60.12	0.14	49.93	32.50	27.79	32.55
AMPD1	-0.13	47.2	0.07	59.17	0.48	76.89	0.63	87.57	-0.27	35.37	0.23	72.01	-0.03	47.84	-0.68	14.44	NA	NA	56.59	52.19	81.93
AMPD2	-0.67	13.83	-1.46	3.79	-1.92	2.49	-1.07	6.24	-1.22	5.95	-0.47	22.65	-1.34	5.25	-0.64	15.79	NA	NA	2.40	2.56	2.98
AMY2B	0.12	67.62	0.11	62	1.75	97.24	0.54	84.65	0.83	88.05	0.4	78.67	0.47	78.11	-0.96	8.05	NA	NA	88.53	92.17	86.95
ANGEL2	-0.28	34.47	-0.11	45.36	-0.25	34.08	-0.6	14.7	-0.2	40.2	-0.07	54.03	-0.08	44.23	0.08	63.86	NA	NA	33.21	39.37	30.67
ANGPTL1	-0.69	13.26	-0.6	18.06	-0.68	16.08	-0.6	14.7	-0.71	15.09	-0.68	14.01	-1.05	8.4	-0.84	10.29	NA	NA	19.96	42.05	34.20
ANGPTL3	-0.12	47.71	-0.11	45.26	0.05	53.16	0.16	63.43	-0.13	44.96	-0.55	18.99	-0.29	31.79	-0.12	47.02	NA	NA	63.36	62.05	53.90
ANGPTL7	0.06	64.52	0.17	65.76	1.01	90.97	0.38	78.41	0.17	65.36	-0.36	30.17	0.38	74.58	0	57.39	NA	NA	50.44	57.48	54.58
ANKRD13C	-0.41	26.34	-0.4	26.53	-0.31	30.62	-0.27	29.64	0.3	72	-0.28	36.38	-0.68	15.98	-0.6	17.35	NA	NA	19.99	19.29	15.55
ANKRD34A	-0.29	34.06	-0.49	22.09	-0.43	25.1	-0.15	37.38	-0.32	32.45	-0.19	43.65	-0.3	31.21	-0.36	29.59	NA	NA	14.33	10.25	17.96
ANKRD35	1.54	95.35	0.88	88.89	1.71	97.07	-0.12	38.81	-0.04	51.89	0.72	86.63	0.97	90.29	1.71	96.07	NA	NA	92.66	96.96	97.67
ANKRD45	0.22	72.38	0.66	84.35	0.58	81.06	0.85	92.14	0.47	78.73	-0.17	45.6	0.57	81.68	0.89	89.38	NA	NA	66.49	80.39	80.90
ANP32E	-0.03	56.85	0.17	65.33	0.3	68.85	0.46	81.79	0.26	69.87	-0.07	55.41	-0.13	42.03	-0.08	50.87	-2.8	1.65	47.95	37.70	47.67
ANXA9	1.06	91.55	0.53	80.88	1.05	91.57	0.96	93.62	0.79	87.3	0.61	84.96	1.69	96.63	0.73	86.61	NA	NA	95.12	95.86	95.95
AP4B1	-0.61	15.89	-0.13	44.03	-0.16	39.5	-0.41	21.79	0.05	58.25	-0.38	27.76	-0.64	17.1	-0.44	24.54	NA	NA	43.38	29.02	27.52
APCS	-0.18	43.45	-0.05	49.76	-0.39	26.67	0	49.5	0.16	64.82	-0.13	49.82	-0.41	25.66	-0.27	35.97	-0.6	21.7	43.21	42.58	40.34
APH1A	-0.06	54.08	0.13	62.74	0.07	54.59	0.42	80.35	-0.06	51	-0.02	59.11	0.32	71.39	0.27	73.56	-0.35	29.32	54.58	48.86	38.11
APITD1	0	59.32	0.21	67.72	0.38	72.85	0.49	82.98	0.32	72.92	-0.02	59.11	0.01	52.23	0.01	58.77	0.62	73.89	63.66	53.27	56.19
APITD1-CORT	-0.09	51.36	-0.16	41.25	0.14	58.97	0.1	58.27	-0.19	41.39	-0.11	51.62	-0.17	38.94	-0.12	48.49	-0.06	40.7	40.49	30.80	55.03
APOA1BP	-0.39	27.26	-0.4	26.53	-0.42	25.5	-0.25	30.64	-0.35	30.95	0.08	66.58	-0.26	34.03	-0.33	31.71	NA	NA	49.08	88.56	81.83
APOA2	0	59.32	-0.03	51.04	0.09	55.75	0.2	67.15	-0.06	51	-0.02	59.11	0.01	52.23	0.01	58.77	-0.84	16.42	41.44	44.61	46.05
APOBEC4	2.78	98.83	2.11	97.88	0.53	79.02	0.47	82.14	1.73	96.43	2.07	97.32	1.57	95.95	2.51	98.41	NA	NA	93.89	87.31	91.05
AQP10	0.59	84.31	0.1	61.49	-0.41	25.87	-0.06	44.03	0.71	85.51	0.8	88.6	0.08	57.16	0.5	81.42	-1.25	10.23	56.07	39.70	43.95
ARF1	-0.08	52.75	-0.14	42.88	-0.4	26.24	0.12	59.81	-0.19	41.39	-0.11	51.62	-0.13	42.03	-0.08	50.87	-4.36	0.18	41.98	38.23	46.63
ARHGAP29	-1	6.68	-1.48	3.69	-0.08	44.03	-1.16	5.45	-0.73	14.46	-1.17	4.79	-0.65	16.59	-1.31	4.08	NA	NA	8.21	30.28	19.03
ARHGAP30	-0.32	32.13	-0.97	8.98	0.53	79.09	-1.04	6.55	-0.17	42.16	0.29	74.49	-0.25	34.2	-1.13	5.75	NA	NA	86.90	73.13	51.14
ARHGEF10L	-1.04	6.19	-0.76	13.45	-1.64	3.63	-1.79	2.02	-0.88	10.67	-0.64	14.85	-1.85	2.52	-1.26	4.5	NA	NA	19.43	12.94	21.42
ARHGEF11	-1.12	5.31	-1.71	2.5	-2.16	1.78	-1.69	2.32	-0.58	19.4	-0.45	23.47	-1.09	7.75	-1.29	4.2	NA	NA	2.72	5.34	3.73
ARHGEF16	0.71	86.77	0.25	69.57	0.67	83.73	-0.31	26.93	0.78	86.86	0.65	85.55	-0.24	34.67	0.66	85.28	NA	NA	88.37	85.10	86.56
ARHGEF19	0.31	76.01	1	90.72	0.85	88.36	0	48.84	1.7	96.27	2.35	98.05	0.68	84.81	0.39	78	NA	NA	76.48	74.79	78.81
ARHGEF2	-0.92	7.85	-0.93	9.61	-1.62	3.73	-0.58	15.39	-1.59	3.09	-1	6.6	-0.42	24.86	-0.37	28.37	NA	NA	3.16	3.18	3.08
ARID1A	-1.95	1.28	-2.67	0.74	-2.45	1.31	-1.68	2.37	-3.05	0.45	-2.4	0.59	-2.54	1.09	-1.73	2.07	NA	NA	0.53	0.60	0.61
ARID4B	-0.81	10.05	-0.44	24.63	-0.72	15.06	-0.64	13.41	-0.04	51.98	-0.68	13.38	-0.68	15.7	-0.47	22.92	NA	NA	3.51	3.24	3.04
ARL8A	-0.02	58.07	-0.08	47.79	-0.24	34.29	0.17	64.34	-0.06	51	-0.02	59.11	-0.03	48.73	-0.02	56.24	-3.64	0.55	38.80	34.95	36.33
ARNT	-0.65	14.67	-0.53	20.7	-0.85	12.13	-0.55	16.35	-0.1	47.36	0	59.84	-0.23	35.31	-0.78	11.79	NA	NA	8.76	6.64	10.37
ARPC5	-0.15	45.9	-0.25	35.42	-0.31	30.44	0.04	52.37	-0.22	39.02	-0.13	49.82	-0.22	36.04	-0.15	45.89	-0.28	32.08	45.88	46.05	48.23
ARV1	-0.25	37.63	0.33	73.27	0.13	58.55	0.5	83.25	0.23	68.74	-0.32	33.13	0.02	53.09	0.24	72.41	NA	NA	38.56	28.78	39.65
ASAP3	-0.97	7.02	-0.19	39.25	-0.73	14.87	0.33	75.83	-0.3	33.21	-1.38	3	0.01	51.3	-0.65	15.54	NA	NA	68.78	46.83	83.16
ASB17	0.21	71.78	0.15	64.32	0.11	56.99	0.26	71.45	-0.01	54.49	0.29	75.26	0.22	66.59	0.21	71.22	0.29	57.29	50.50	47.18	33.45
ASH1L	-1.1	5.56	-1.8	2.22	-2.53	1.15	-1.55	2.89	-2.56	0.84	-2.57	0.49	-2	2.09	-0.41	26.01	NA	NA	0.22	0.32	0.19
ASPM	-0.09	50.47	1.76	96.74	2.08	98.22	-0.19	34.34	-2.83	0.59	-2.25	0.7	-0.09	43.86	2.87	98.92	NA	NA	82.04	71.49	25.61
ASTN1	-0.89	8.43	-1.1	6.98	-0.65	17.07	-1.41	3.57	-0.59	18.71	-0.21	40.01	-0.85	11.7	-0.91	8.85	NA	NA	38.81	8.72	11.35
ATAD3A	0.17	69.98	0.12	62.21	0.15	59.8	-0.38	22.59	-0.3	33.21	-0.32	31.78	-0.69	15.32	-0.33	30.54	NA	NA	82.97	91.84	97.84
ATAD3B	1.54	95.35	2.17	98.03	0.84	87.93	3.07	99.54	-0.67	16.16	-0.02	57.41	1.83	97.21	0.93	89.86	NA	NA	99.39	99.11	99.08
ATAD3C	0.84	89.01	2.89	99.14	3.5	99.56	1.57	97.76	2.04	97.55	-0.09	52.13	1.87	97.42	2.14	97.61	NA	NA	99.11	98.81	98.94
ATF3	-0.08	52.75	0.1	61.28	0.32	70.14	0.12	59.81	-0.16	43.78	-0.09	53.45	0.32	71.39	-0.12	48.49	-0.12	38.21	63.62	63.43	60.63
ATF6	0.83	88.82	0.42	77.23	0.26	66.83	-0.17	35.47	0.88	88.79	1.25	93.58	0.08	56.58	0.64	84.68	NA	NA	24.70	12.59	32.56
ATG4C	-0.46	22.89	0	53.73	0.69	84.32	-0.04	45.77	-0.03	52.33	-0.49	22.26	-0.25	34.57	-0.48	22.63	NA	NA	40.72	76.31	84.08
ATP13A2	-1.11	5.47	-1.16	6.1	-1.4	5.31	-1.37	3.82	-1.6	3.04	-0.85	8.84	-1.1	7.63	-0.76	12.2	NA	NA	11.70	14.50	28.42
ATP1A1	-0.35	29.49	-1	8.37	-2.05	2.14	-0.72	11.65	-0.75	14.17	-0.17	44.12	-1.05	8.4	-0.84	10.29	NA	NA	3.35	4.78	3.04
ATP1A2	-1.04	6.27	-1.37	4.43	-1.65	3.54	-1	7.05	-0.95	9.58	-0.83	9.81	-1.99	2.13	-1.45	3.27	NA	NA	3.78	2.17	3.79
ATP1A4	-0.76	11.27	0.55	81.13	0.59	81.35	-0.7	11.94	1.79	96.64	-0.91	7.66	-1.24	5.94	-0.46	22.95	NA	NA	97.85	93.08	96.73
ATP1B1	-0.26	36.41	-0.45	24	-0.49	22.43	-0.11	39.74	-0.42	26.73	-0.26	38.17	-0.36	27.99	-0.24	38.27	-1.21	10.68	38.67	47.85	31.41
ATP2B4	-1.39	3.2	-0.83	11.51	-1.17	7.3	-0.73	11.25	-0.29	33.51	-1.08	5.46	-2.19	1.71	-1.82	1.83	NA	NA	7.11	19.32	15.72
ATP5F1	-0.32	32.09	-0.27	34.32	0.22	64.41	-0.17	36.22	-0.18	42.09	-0.34	31.62	-0.4	26.25	-0.42	25.91	NA	NA	30.78	28.78	39.65
ATP6V0B	-0.02	58.07	-0.05	49.39	-0.1	43.16	0.19	65.65	-0.02	53.64	0	61.1	0.01	52.23	0.01	58.77	0.3	57.85	35.29	31.18	32.40
ATP6V1G3	1.18	92.87	1.1	91.93	0.8	87.11	1	94.08	0.19	66.52	0.42	79.89	1.3	94.02	1.43	94.63	NA	NA	70.03	70.48	73.91
ATP8B2	-1.7	1.85	-1.66	2.75	-0.89	11.42	-1.48	3.18	-1.81	2.27	-1.61	1.94	-1.96	2.22	-1.9	1.63	NA	NA	25.70	12.62	9.72
ATPAF1	-0.28	35.17	-0.45	24	-0.53	20.92	-0.11	39.74	-0.49	23.35	-0.3	34.73	-0.22	36.04	-0.15	45.89	-0.77	17.7	49.69	50.32	68.51
ATPIF1	0.32	76.46	0.08	59.76	0.14	58.97	0.39	78.9	0.16	64.82	0.4	79.08	0.26	68.43	0.39	77.87	2.72	99.82	49.73	39.76	57.78
ATXN7L2	-0.48	21.63	-0.91	10.03	-0.52	21.44	-0.26	29.98	-0.95	9.58	-0.83	9.81	-0.41	25.08	-0.52	20.29	NA	NA	11.22	10.98	6.34
AURKAIP1	0.48	81.45	-0.07	48.35	-0.59	18.89	0.09	57.11	0.23	68.74	0.21	71.91	0.23	67.12	0.06	62.42	NA	NA	75.85	72.61	60.93
AVPR1B	0.4	79.26	0.64	84.1	0.95	90.06	0.39	78.6	0.95	89.85	0.76	87.55	0.13	60.61	0.13	67.32	NA	NA	73.30	75.77	72.80
AXDND1	-0.1	49.94	0.61	82.93	0.41	74.09	-0.2	33.29	0.89	88.99	0.48	81.42	0.14	60.63	0.5	81.05	NA	NA	58.28	60.54	32.87
B3GALNT2	-0.61	16.18	-0.71	14.5	0.14	59.16	-0.21	32.96	-0.76	13.85	-0.47	23.43	-0.82	12.34	-0.31	32.45	NA	NA	14.54	34.26	30.71
B3GALT2	-0.32	32.09	-0.27	34.32	-0.36	28.4	-0.17	36.22	-0.18	42.09	-0.34	31.62	-0.41	25.66	-0.27	35.97	NA	NA	14.16	17.76	13.67
B4GALT2	-0.12	47.71	-0.36	29.16	0.05	53.16	-0.13	38.79	-0.03	52.33	0.04	63.43	-0.68	15.98	-0.22	39.22	NA	NA	26.38	26.47	33.80
B4GALT3	-0.41	26.34	-0.16	41.91	-0.17	38.72	0.31	75.05	-0.41	27.28	-0.49	22.26	-0.26	34.03	-0.33	31.71	NA	NA	31.13	26.24	32.85
BAI2	-1.66	1.96	-1.52	3.47	-2.23	1.69	-1.05	6.36	-1.55	3.22	-1.93	1.16	-2.66	0.99	-2.13	1.17	NA	NA	5.82	5.68	9.08
BARHL2	-0.35	30.1	-0.56	19.31	-0.73	14.76	-0.2	33.83	-0.56	20.63	-0.34	31.62	-0.26	34.03	-0.33	31.71	NA	NA	31.20	37.54	37.88
BATF3	0.07	64.84	0.08	59.43	0	49.53	0.29	73.48	0.08	60.11	0.06	65.58	0.16	62.02	0.1	65.33	-0.26	32.67	64.59	58.16	59.86
BCAN	-0.8	10.29	-1.06	7.58	0.04	52.25	-0.82	9.71	-0.64	17.34	0	59.21	-1.24	6.05	-0.98	7.67	NA	NA	14.61	15.82	24.99
BCAR3	-0.08	51.97	0.26	69.72	1.79	97.42	0.22	67.77	0.01	54.93	-1.42	2.76	0.37	73.6	-0.76	12.2	NA	NA	95.49	92.27	98.07
BCAS2	-0.05	55.48	0.13	62.74	0.11	57.36	0.14	61.38	0.29	71.41	-0.05	57.34	0.17	62.87	-0.05	53.64	-2.32	2.91	29.63	27.84	24.75
BCL10	0.71	86.74	0.28	71.08	-0.09	43.74	0.36	77.52	0.43	77.45	0.87	89.55	0.36	73.57	0.3	74.67	0.24	54.72	65.01	64.74	55.09
BCL2L15	-0.15	45.9	-0.01	53.19	-0.17	38.56	0.04	52.37	-0.22	39.02	-0.13	49.82	0.02	53.09	-0.15	45.89	0.82	82.19	64.51	57.82	68.20
BCL9	-1.08	5.79	-1.63	2.88	-0.73	14.76	-1.05	6.42	-0.54	21.04	-0.66	14.04	-1.78	2.82	-2.03	1.31	NA	NA	1.10	12.66	2.41
BEND5	-0.32	32.09	-0.27	34.32	-0.51	21.82	-0.17	36.22	-0.56	20.63	-0.34	31.62	-0.26	34.03	-0.33	31.71	NA	NA	21.44	19.23	37.95
BEST4	-0.38	28.24	-0.6	17.75	-0.38	27.49	-0.23	31.65	-0.66	16.92	-0.41	27.43	-0.41	25.66	-0.27	35.97	NA	NA	32.12	32.93	37.05
BGLAP	0.26	74.23	0.48	79.04	0.56	80.17	0.9	92.88	0.19	66.52	-0.11	51.62	0.67	84.39	0.56	83.03	NA	NA	85.18	80.48	85.97
BLZF1	0.4	79.41	1.28	93.77	1.1	92.22	0.87	92.5	0.92	89.6	0.17	70.35	0.74	86.27	0.91	89.59	NA	NA	69.44	63.77	77.30
BNIPL	1.47	94.89	0.53	80.88	0.91	89.34	0.67	88.51	0.93	89.76	1.52	95.25	0.9	89.16	0.85	88.78	NA	NA	92.92	87.59	89.43
BOLA1	0.25	73.63	0.46	78.28	0.37	72.52	0.6	86.55	0.6	82.56	0.44	80.53	0.33	71.95	0.5	81.42	NA	NA	77.29	74.78	73.86
BPNT1	-0.16	44.62	0.46	78.28	-0.06	45.25	0.6	86.55	0.5	79.81	-0.15	47.68	-0.07	46.14	-0.21	40.71	NA	NA	51.03	44.44	30.00
BRDT	0.43	79.99	0.78	87.26	0.73	85.38	-0.35	24.27	0.92	89.47	1.04	91.4	1.13	92.58	1.37	94.18	NA	NA	88.60	78.03	76.89
BROX	-0.38	28.24	-0.12	45.13	-0.52	21.31	0.06	54.31	-0.46	24.98	-0.28	36.38	-0.2	37.31	-0.06	52.06	NA	NA	20.24	13.51	23.86
BRP44	0.02	61.78	0.5	79.79	0.32	69.68	0.24	69.83	0.36	74.41	0	61.1	0.26	68.43	0.01	58.77	NA	NA	51.77	49.48	50.14
BSDC1	-0.04	56.02	-0.47	23.25	0.15	59.7	-0.32	26.55	-0.38	29.05	0.06	64.99	-0.49	22.27	-0.48	22.63	NA	NA	23.53	30.61	32.03
BSND	-0.11	49.14	-0.36	29.16	0.53	79.02	-0.42	21.53	-0.31	33.16	-0.43	25.96	0.11	59.29	-0.34	30.52	NA	NA	61.03	79.86	79.34
BTBD8	0.46	81.06	0.64	83.9	0.39	73.31	0.65	88.07	0.23	68.74	0.74	87.36	0.49	78.77	0.29	74.24	NA	NA	49.08	27.32	45.71
