GENE	ALL_0.1%	%ALL_0.1%	%OEratio	%ExAC_0.05%popn	OEratio-percentile[ExAC]	LoF-FDR[ExAC]	ExAC_v2_0.05%popn	%ExAC_v2_0.05%popn	Edge Case (ExAC_v2)	OEratio-percentile[ExAC_v2]
ABHD10	0.6	82.66	NA	76.56	50.7024	0.2760746	0.3795	66.9013	N	72.1589
ABHD11	-0.4	26.53	NA	20.78	86.2555	0.7969103	-0.3898	31.9159	N	80.6693
ABHD12	-0.16	42.06	NA	58.08	89.3750	0.7892025	0.1129	54.9560	N	77.3114
ABHD12B	1.04	91.26	NA	90.26	93.9934	0.9993496	0.8027	81.7302	N	92.7633
ABHD13	-0.32	31.46	Y	63.3	30.9956	0.04338055	0.2102	59.5210	N	18.3755
ABHD14A	0.77	87.06	NA	86.66	93.0586	0.8295235	0.7061	78.9638	N	98.9521
ABHD14A-ACY1	NA	NA	NA	NA	87.0741	0.542708	NA	NA	NA	NA
ABHD14B	0.22	67.92	Y	76.83	81.1338	0.4550991	0.3943	67.4585	N	96.6422
ABHD15	-0.25	36.07	NA	75.47	91.2832	0.6056214	0.1297	55.7771	N	59.3585
ABHD16A	-0.34	30.56	NA	47.55	16.9027	0.002137386	-0.2776	36.6764	N	46.9056
ABHD16B	NA	NA	NA	NA	91.6040	0.6331759	0.2030	59.1984	N	89.7875
ABHD17A	NA	NA	NA	85.91	39.8894	0.940533	0.3312	64.7996	N	68.5289
ABHD17B	-0.34	30.07	Y	33.2	2.3507	0.008599168	-0.3366	34.1153	Y	1.6731
ABHD17C	NA	NA	NA	32.53	1.1615	0.3806409	-0.1853	40.6354	Y	0.8626
ABHD2	-0.03	51.92	NA	23.29	13.8330	0.04430938	-0.4655	28.8270	N	10.4846
ABHD3	-0.2	38.82	NA	47.12	82.0852	0.7473546	0.0646	52.5904	N	93.7301
ABHD4	-0.98	8.75	NA	15.32	28.8496	0.1765283	-0.1236	43.5484	N	42.5114
ABHD5	-0.42	25.56	NA	62.14	18.4513	0.09961183	0.0916	53.9589	N	44.4277
ABHD6	-0.49	22.09	NA	18.15	46.5376	0.3903256	-0.6476	22.5024	N	32.6984
ABHD8	-0.2	38.82	NA	20.75	27.8706	0.1456301	-0.7492	19.5699	N	38.3894
ABI1	-0.32	31.69	NA	21.44	25.5420	0.01822227	-0.6792	21.5836	N	8.4872
ABI2	-0.36	28.63	Y	18.02	17.3285	0.0152538	-0.7716	18.8759	N	17.3392
ABI3	-0.03	51.92	NA	68.14	88.7445	0.2425094	0.3597	66.0117	N	81.9834
ABI3BP	0.45	78.05	NA	89.49	55.9845	0.00272036	0.6583	77.3021	N	53.3723
ABL1	-1.63	2.85	NA	4.4	29.0597	7.06E-07	-0.7018	20.9384	N	17.4434
ABL2	-0.99	8.6	NA	3.2	21.8639	0.000475106	-1.5211	5.8749	N	19.2381
ABLIM1	-0.24	36.28	NA	64.08	25.5033	0.000189813	-0.0539	46.8524	N	38.2852
ABLIM2	-1.51	3.54	NA	48.14	48.0310	1.41E-05	-0.1361	42.9326	N	45.8403
ABLIM3	-1.15	6.29	NA	70.59	69.2035	0.000450706	0.7998	81.6813	N	56.6838
ABR	-1.04	7.8	NA	6.44	3.6338	2.11E-05	-1.0138	12.9814	N	5.8125
ABRA	-0.2	38.98	NA	24.36	40.4591	0.4465514	-0.0825	45.5425	N	46.2630
ABRACL	0.04	56.25	Y	45	31.0454	0.4229703	0.0756	53.1476	Y	39.4373
ABT1	-0.27	34.32	NA	16.9	26.0730	0.6955023	-0.5252	26.5982	N	32.2990
ABTB1	-0.95	9.27	NA	65.27	43.9989	0.1278159	0.3829	67.0186	N	71.1515
ABTB2	-1.01	8.17	NA	13.96	60.0111	0.02590459	-0.2277	38.8856	N	64.7369
AC003101.1	NA	NA	NA	NA	12.2345	0.699039	NA	NA	NA	NA
AC004076.9	NA	NA	NA	NA	92.6493	0.8199521	NA	NA	NA	NA
AC004381.6	NA	NA	NA	NA	39.0985	0.3449239	NA	NA	NA	NA
AC004466.1	NA	NA	NA	NA	37.4668	0.9714595	NA	NA	NA	NA
AC004899.1	NA	NA	NA	NA	89.9723	0.9964455	NA	NA	NA	NA
AC005358.1	NA	NA	NA	NA	38.0808	0.000142477	NA	NA	NA	NA
AC005609.1	NA	NA	NA	NA	76.1007	0.9059304	NA	NA	NA	NA
AC006435.1	NA	NA	NA	NA	63.0586	0.9241087	NA	NA	NA	NA
AC007040.11	NA	NA	NA	NA	68.9381	0.9757066	NA	NA	NA	NA
AC007390.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC010327.2	NA	NA	NA	NA	43.5619	0.7768452	NA	NA	NA	NA
AC010336.1	NA	NA	NA	NA	81.4159	0.9335882	NA	NA	NA	NA
AC010441.1	NA	NA	NA	NA	57.6327	0.9900826	NA	NA	NA	NA
AC011484.1	NA	NA	NA	NA	96.7478	0.9379594	NA	NA	NA	NA
AC011997.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC012123.1	NA	NA	NA	NA	37.0575	0.6963076	NA	NA	NA	NA
AC012493.2	NA	NA	NA	NA	16.6372	0.5896632	NA	NA	NA	NA
AC013449.1	NA	NA	NA	NA	86.3053	0.6645264	NA	NA	NA	NA
AC015989.2	NA	NA	NA	NA	17.6051	0.940533	NA	NA	NA	NA
AC018470.1	NA	NA	NA	NA	61.7035	0.8189107	NA	NA	NA	NA
AC018816.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC018867.2	NA	NA	NA	NA	99.7622	0.8567088	NA	NA	NA	NA
AC020922.1	NA	NA	NA	NA	43.6283	0.8277625	NA	NA	NA	NA
AC022400.2	NA	NA	NA	NA	98.2080	0.4604065	NA	NA	NA	NA
AC022532.1	NA	NA	NA	NA	93.2467	0.704902	NA	NA	NA	NA
AC026703.1	NA	NA	NA	NA	40.4314	0.4893203	NA	NA	NA	NA
AC040160.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC074212.3	NA	NA	NA	NA	99.8838	0.6819443	NA	NA	NA	NA
AC079210.1	NA	NA	NA	NA	66.9192	0.8897821	NA	NA	NA	NA
AC087645.1	NA	NA	NA	NA	94.3086	0.2603671	NA	NA	NA	NA
AC093157.1	NA	NA	NA	NA	94.3639	0.6663238	NA	NA	NA	NA
AC103809.2	NA	NA	NA	NA	90.1881	0.7667854	NA	NA	NA	NA
AC106876.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AC110615.1	NA	NA	NA	NA	88.1858	0.9327238	NA	NA	NA	NA
AC114494.1	NA	NA	NA	NA	86.6095	0.9250822	NA	NA	NA	NA
AC129492.6	NA	NA	NA	NA	79.6128	0.1220923	NA	NA	NA	NA
ACAA1	0.06	58.85	NA	60.67	46.4159	0.7291258	0.3650	66.2561	N	87.4139
ACAA2	-0.58	18.72	NA	37.09	62.7765	0.08152633	-0.1122	44.1153	N	89.7296
ACACA	-1.61	2.96	NA	0.54	6.6150	3.01E-10	-3.3996	0.7136	N	4.2494
ACACB	-1.97	1.78	NA	1.19	61.9967	0.07379328	-1.6928	4.7605	N	51.3229
ACAD10	-0.54	20.05	NA	71.31	66.7865	0.548904	0.3208	64.3597	N	64.8990
ACAD11	0.6	82.9	NA	63.07	47.6217	0.05385977	-0.0125	48.8270	N	45.3019
ACAD8	-0.38	27.88	NA	24.29	45.4093	0.2425549	0.1483	56.6667	N	82.1224
ACAD9	-0.84	11.36	NA	24.78	40.4369	0.150794	-0.6890	21.2903	N	62.1895
ACADL	-0.36	29.16	NA	65.44	67.9148	0.7443202	0.4179	68.3871	N	69.7621
ACADM	-0.25	35.99	NA	45.24	55.3429	0.7701211	-0.2335	38.6413	N	59.6770
ACADS	-0.2	39.11	NA	39.64	70.0277	0.5464991	0.2578	61.5836	N	64.1058
ACADSB	-0.4	26.73	NA	69.02	92.2456	0.7671154	0.0601	52.3656	N	86.2097
ACADVL	0.03	55.79	NA	15.69	42.5885	0.4614456	-0.8073	17.9179	N	77.7167
ACAN	1.28	93.77	NA	99.38	74.7954	1.24E-10	3.5618	99.4135	N	70.0052
ACAP1	0	54.03	NA	58.17	33.0918	0.01143625	-0.4221	30.6256	N	19.7360
ACAP2	-0.6	17.91	NA	18.29	16.5265	1.64E-05	-0.6624	22.0137	N	15.9208
ACAP3	-0.35	29.49	NA	14.05	20.4867	0.1086345	-1.0632	11.8475	N	21.6697
ACAT1	-0.54	20.26	NA	12.49	49.8119	0.3388085	-0.2731	36.8817	N	57.8128
ACAT2	-0.36	28.93	NA	26.51	59.3086	0.7056057	-0.3856	32.0626	N	31.2048
ACBD3	0.15	64.51	NA	62.26	36.8031	0.008758767	0.0133	50.0587	N	50.4371
ACBD4	0.46	78.59	NA	87.98	65.2876	0.4173274	0.6514	77.0870	N	99.2474
ACBD5	-0.56	19.73	NA	48.45	73.1305	0.02869752	-0.1639	41.6325	N	48.0287
ACBD6	-0.43	25.15	Y	28.33	75.0996	0.09837163	-0.6674	21.9159	N	79.5577
ACBD7	0.15	64.11	Y	69.06	60.2821	0.4871582	0.2535	61.4467	Y	84.6929
ACCS	0.29	71.57	NA	83.83	55.2046	0.2118399	1.1595	89.2962	N	51.9018
ACCSL	-0.15	42.23	NA	57.29	40.2046	0.7578213	-0.1544	42.0723	N	41.5388
ACD	-0.6	18.14	NA	23.03	57.6217	0.5372744	-0.6517	22.3949	N	75.9162
ACE	-0.57	18.91	NA	92.84	66.2832	0.3999729	1.5733	94.3402	N	67.3653
ACE2	0.89	89.14	NA	49.85	72.2179	8.83E-05	0.1121	57.6803	N	58.5422
ACER1	-0.03	51.92	NA	58.57	22.3285	0.1258029	0.2813	62.6100	N	40.6473
ACER2	0.17	65.76	NA	49.89	86.6925	0.1293847	-0.4096	31.1046	N	81.4161
ACER3	0.06	58.26	Y	48.58	11.5321	0.07407759	-0.0587	46.6178	Y	14.6471
ACHE	-0.6	18.14	NA	22.98	4.3197	0.000380211	-0.4616	29.0225	N	10.8377
ACIN1	-0.44	24.71	NA	35.44	18.0642	1.27E-10	-1.0198	12.8250	N	11.5846
ACKR1	0.28	71.41	NA	32.26	71.2279	0.7570852	-0.2917	36.0997	N	70.1789
ACKR2	0.46	78.69	NA	53.24	80.7024	0.8112605	0.0388	51.3294	N	63.9843
ACKR3	0.04	57.31	NA	63.77	27.7323	0.2566045	0.0688	52.7957	N	41.5157
ACKR4	0.53	80.73	NA	73.34	96.5874	0.9983272	0.2684	62.0626	N	39.6515
ACLY	-0.77	13.1	NA	1.96	21.8971	6.47E-05	-2.0091	3.1183	N	18.5087
ACMSD	-0.4	26.53	NA	78.19	77.6383	0.6564266	-0.0152	48.6608	N	78.8977
ACO1	-1.08	7.24	NA	4.58	46.4270	0.06527307	-0.9034	15.5327	N	38.0826
ACO2	-1	8.47	NA	8.61	12.0796	0.02971635	-0.8042	18.0059	N	12.1809
ACOD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACOT1	NA	NA	NA	NA	39.6128	0.9646018	NA	NA	NA	NA
ACOT11	0.72	85.86	NA	88.89	73.7113	0.5750668	1.9879	96.9208	N	59.4570
ACOT12	0.16	64.82	NA	44.39	85.3263	0.7108438	0.1692	57.6833	N	70.3873
ACOT13	0.33	73.11	Y	70.48	85.8462	0.9850334	0.1779	58.0547	Y	89.1449
ACOT2	NA	NA	NA	82.11	97.7876	0.4713316	0.8263	82.3754	N	79.4824
ACOT4	0.28	71.41	NA	51.27	95.3927	0.9971849	0.0304	50.9286	N	90.6501
ACOT6	0.55	81.22	NA	54.88	32.5664	0.9014815	0.2163	59.8045	Y	32.9590
ACOT7	-0.76	13.45	NA	9.46	10.2434	0.1802156	-1.0583	11.9550	N	13.5761
ACOT8	0.11	62	NA	91.21	69.0321	0.3747932	1.0176	86.6178	N	97.1690
ACOT9	0.44	77.7	NA	72.04	81.8971	0.6873256	0.2191	65.0470	N	71.7883
ACOX1	0.13	63.57	NA	21.1	34.5520	0.03352981	-0.0844	45.4643	N	47.4614
ACOX2	-0.57	18.96	NA	41.22	62.1460	0.6373256	-0.2190	39.2571	N	53.0250
ACOX3	-0.79	12.63	NA	69.95	83.1471	0.6879303	0.7097	79.0909	N	80.9935
ACOXL	1.87	97.2	NA	96.8	89.9336	0.9279321	1.5927	94.5064	N	73.3052
ACP1	0.26	70.26	NA	44.76	88.0365	0.5879075	-0.1046	44.4673	N	89.9670
ACP2	0.09	60.47	NA	33.96	58.3905	0.5303394	-0.3902	31.9062	N	40.3636
ACP5	0.35	74.58	NA	77.35	57.7268	0.2115019	0.3053	63.7048	N	86.7192
ACP6	0.86	88.74	NA	92.24	66.0619	0.7155992	0.8879	83.7928	N	64.9221
ACP7	-0.47	23.51	NA	81.01	38.8883	0.4616693	0.5982	75.2199	N	96.7695
ACPP	-0.6	17.91	NA	21.35	32.8872	0.4368036	-0.4985	27.6344	N	50.2866
ACPT	-0.22	37.54	NA	19.57	34.3363	0.9865862	-0.1438	42.5513	N	37.8162
ACR	-0.6	17.91	NA	77.21	24.6958	0.3914646	-0.0951	44.9658	N	26.7991
ACRBP	-0.69	15.2	NA	55.38	55.9347	0.5348068	0.2377	60.7136	N	60.7480
ACRV1	0.08	60.09	Y	64.45	36.2002	0.6739583	0.0992	54.2717	N	46.6508
ACSBG1	-0.37	28.2	NA	20.69	24.4801	0.05904217	-0.2874	36.2757	N	28.3506
ACSBG2	1.72	96.48	NA	96.48	62.0133	0.1203596	1.7274	95.3861	N	58.3917
ACSF2	-0.18	40.45	NA	19.2	28.3131	0.02615	-0.3677	32.8348	N	67.1453
ACSF3	-0.88	10.54	NA	44.68	70.9237	0.9253305	0.3891	67.2532	N	88.5486
ACSL1	-0.84	11.36	NA	20.89	36.0675	0.002399363	-0.1190	43.8025	N	37.1968
ACSL3	0.13	63.49	NA	40.67	16.9358	0.000522144	-0.1928	40.3519	N	16.1292
ACSL4	-0.56	19.31	NA	12.43	12.7931	0.000858788	-1.1723	8.9342	N	7.2888
ACSL5	0.27	70.64	NA	22.13	75.3485	0.01028461	-0.8073	17.9179	N	70.5320
ACSL6	-0.64	16.63	NA	12.16	28.3186	0.01013029	-1.1419	10.5474	N	19.7823
ACSM1	0.12	62.17	NA	88.99	91.4159	0.3527718	1.0679	87.4976	N	70.0689
ACSM2A	0.41	76.51	NA	96.17	85.1549	0.371282	1.0120	86.5494	N	70.8447
ACSM2B	0.56	81.71	NA	96.17	60.6527	0.4431777	0.8622	83.2649	N	71.1226
ACSM3	1.29	93.85	NA	87.7	71.2611	0.3098891	0.5039	71.8866	N	75.4935
ACSM4	-0.46	23.57	NA	85.8	80.1106	0.6123787	0.9130	84.3011	N	39.2231
ACSM5	3.18	99.33	NA	98.51	47.8816	0.3612499	1.5847	94.4770	N	68.1584
ACSM6	0.68	85.04	NA	NA	98.5896	0.3832119	NA	NA	NA	NA
ACSS1	-0.95	9.32	NA	23.08	32.3285	0.3308371	-0.5263	26.5689	N	18.5897
ACSS2	-0.49	22.7	NA	13.15	79.8064	0.8540175	-0.4563	29.2180	N	89.4286
ACSS3	-0.42	25.64	NA	13.49	72.3838	0.7339378	-1.1149	10.9091	N	69.4668
ACTA1	-0.3	32.62	Y	18.75	0.9569	0.9844137	-0.6971	21.0753	N	1.3200
ACTA2	-0.27	33.97	Y	31.74	3.6394	0.2854572	-0.4051	31.2903	N	3.9889
ACTB	-0.67	15.62	NA	11.64	0.0332	0.1190975	-0.9025	15.5718	N	0.0058
ACTBL2	0.89	89.24	NA	89.49	73.8662	0.9494385	1.0187	86.6373	N	78.0698
ACTC1	-0.21	38.28	Y	24.99	0.3706	0.2204694	-0.5830	24.6041	Y	0.2489
ACTG1	-1.93	1.91	NA	2.76	0.1438	0.09253255	-0.9602	13.9785	N	0.3358
ACTG2	-0.36	28.63	Y	19.67	2.3064	0.3306729	-0.6971	21.0753	N	3.0973
ACTL10	NA	NA	NA	68.3	97.7378	0.9686021	0.3528	65.7185	N	96.4627
ACTL6A	0.28	71.27	NA	43.25	4.9447	0.009153815	-0.0320	47.8299	N	4.6778
ACTL6B	-0.34	30.07	Y	14.8	1.6538	0.01729234	-0.8313	17.3412	N	2.6573
ACTL7A	-0.13	43.98	NA	55.01	68.4624	0.6642738	0.5354	73.0108	N	57.9691
ACTL7B	-0.29	33.34	NA	11.55	88.8053	0.9621354	-0.8092	17.8788	N	91.9470
ACTL8	-0.07	48.69	NA	81.93	22.4004	0.284914	0.2909	63.0401	N	19.2902
ACTL9	0.33	73.54	NA	82.29	90.6692	0.5028646	NA	NA	NA	NA
ACTN1	-1.33	4.71	NA	2.16	13.4735	8.79E-06	-1.9174	3.4311	N	11.7640
ACTN2	-1.72	2.47	NA	22.29	43.8606	4.09E-06	-0.1467	42.4340	N	44.7751
ACTN3	NA	NA	NA	NA	NA	NA	2.3422	98.1427	N	NA
ACTN4	-0.71	14.78	NA	3.37	3.5896	5.75E-06	-1.3971	6.9501	N	3.3115
ACTR10	-0.25	35.75	NA	37.09	29.2920	0.1730121	-0.2773	36.6862	N	68.0831
ACTR1A	-0.36	28.63	Y	21.75	8.5398	0.07013467	-0.5975	24.0958	N	9.2225
ACTR1B	-0.36	29.16	NA	17.35	36.8086	0.1001695	-0.4100	31.0850	N	33.5147
ACTR2	-0.1	46.2	Y	29.52	1.5155	0.03920564	-0.4191	30.7527	Y	1.3663
ACTR3	0.13	62.74	Y	29.49	2.0575	0.00482295	-0.4150	30.9091	Y	3.1726
ACTR3B	-0.43	25.15	Y	41.86	6.1117	0.01112738	-0.4978	27.6637	N	4.0294
ACTR3C	0.48	78.95	Y	90.67	98.8717	0.9704873	1.2861	91.2805	N	97.3890
ACTR5	0.27	70.58	NA	33.29	54.0265	0.9884993	-0.0517	46.9795	N	56.3191
ACTR6	-0.25	35.75	NA	24.92	37.4115	0.3351979	-0.2742	36.8231	N	23.0360
ACTR8	-0.62	17.31	NA	15.9	61.9912	0.3646063	-0.7225	20.3519	N	48.5613
ACTRT1	0.37	75.43	NA	84.76	72.0409	0.3853599	0.4296	73.6677	N	85.4571
ACTRT2	0.49	79.46	NA	48.76	84.3418	0.5413466	0.0441	51.5836	N	71.2962
ACTRT3	0.95	90.01	NA	67.03	95.0774	0.8688717	-0.0822	45.5523	N	97.4643
ACVR1	-0.51	21.41	NA	11.92	13.3850	0.010641	-1.0283	12.6393	N	8.2325
ACVR1B	-0.41	26.23	Y	13.7	4.8949	0.001069811	-0.4895	27.9570	N	3.1089
ACVR1C	-0.05	50.01	NA	18.9	17.7489	0.04306878	-0.5567	25.4839	N	23.5917
ACVR2A	-0.34	30.07	Y	29.41	6.6704	0.002545193	-0.5393	26.0997	N	3.2478
ACVR2B	-0.78	12.88	NA	6.74	5.3872	0.00171848	-0.9815	13.5777	N	7.0052
ACVRL1	-1.02	8	NA	49.97	19.6847	0.3941603	-0.0198	48.4751	N	8.7883
ACY1	0.33	73.54	NA	77.28	74.1538	0.5471998	0.6639	77.5171	N	83.5755
ACY3	-0.24	36.17	NA	62.26	70.5199	0.9431857	0.0418	51.5054	N	73.3167
ACYP1	-0.03	51.04	Y	44.61	83.6504	0.5574732	-0.0541	46.8328	Y	80.3450
ACYP2	0.08	59.76	Y	74.63	93.7887	0.8960032	0.4771	70.8407	Y	75.1751
ADA	-0.09	46.92	NA	57.24	57.4336	0.8562433	0.3821	66.9892	N	62.3632
ADA2	-0.35	29.43	NA	47.17	84.2865	0.2954909	-0.1057	44.4282	N	70.2368
ADAD1	-0.23	37.32	NA	20.33	46.5763	0.000142477	-0.8149	17.7517	N	46.0603
ADAD2	0.14	63.65	NA	84.95	60.4204	0.08990932	1.5616	94.2424	N	56.0875
ADAL	0.26	70.26	NA	56.26	79.5631	0.9944385	0.1049	54.5650	N	58.3628
ADAM10	-0.38	27.69	NA	19.71	8.7611	2.67E-05	-0.7693	18.9247	N	5.5057
ADAM11	-1.07	7.43	NA	14.05	38.9325	0.08872263	-0.3122	35.1906	N	57.9980
