CCDS_r9	CCDS_r11	CCDS_r12	CCDS_r14	CCDS_r15	RVIS_ExAC_0.05%(AnyPopn)	%RVIS_ExAC_0.05%(AnyPopn)	EdgeCase_EVS	OEratio%tile_EVS
C1orf86	C1orf86	C1orf86	C1orf86	C1orf86	0.309821667	71.05979047	N	78.64370031
SKI	SKI	SKI	SKI	SKI	-0.869123828	10.20431788	Unassessed	Unassessed
MORN1	MORN1	MORN1	MORN1	MORN1	1.157195988	94.58239278	N	61.58756926
PEX10	PEX10	PEX10	PEX10	PEX10	0.644892524	85.51253111	N	57.12478921
PANK4	PANK4	PANK4	PANK4	PANK4	-1.260127918	5.052960583	N	46.35629969
ACTRT2	ACTRT2	ACTRT2	ACTRT2	ACTRT2	-0.09614756	42.3337385	N	47.75355336
ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	ARHGEF16	0.5127051	80.99785842	N	72.41026259
TPRG1L	TPRG1L	TPRG1L	TPRG1L	TPRG1L	-0.075704275	43.9775424	Y	32.72103108
WRAP73	WRAP73	WRAP73	WRAP73	WRAP73	-0.114829257	41.15876599	N	69.63382318
TP73	TP73	TP73	TP73	TP73	-1.264908337	5.006656248	N	9.238737654
CCDC27	CCDC27	CCDC27	CCDC27	CCDC27	1.436915322	96.61399549	N	84.0580583
LRRC47	LRRC47	LRRC47	LRRC47	LRRC47	-0.506095743	19.97453262	N	31.38400385
DFFB	DFFB	DFFB	DFFB	DFFB	0.051041541	53.45835504	N	33.81112985
C1orf174	C1orf174	C1orf174	C1orf174	C1orf174	0.805185239	89.25160618	N	96.04914478
AJAP1	AJAP1	AJAP1	AJAP1	AJAP1	0.255536257	67.80112288	N	19.68200434
KCNAB2	KCNAB2	KCNAB2	KCNAB2	KCNAB2	-0.257690928	32.05996411	N	2.403035413
CHD5	CHD5	CHD5	CHD5	CHD5	-2.525577091	0.955026914	N	5.817875211
RPL22	RPL22	RPL22	RPL22	RPL22	0.016094318	50.71482318	Y	1.270778126
RNF207	RNF207	RNF207	RNF207	RNF207	0.968646498	92.30769231	N	94.96506866
ICMT	ICMT	ICMT	ICMT	ICMT	0.086492393	56.17873473	Y	11.85256565
GPR153	GPR153	GPR153	GPR153	GPR153	0.078334396	55.57677838	Unassessed	Unassessed
ACOT7	ACOT7	ACOT7	ACOT7	ACOT7	-0.902009032	9.53869306	N	14.46037099
ESPN	ESPN	ESPN	ESPN	ESPN	-0.030382941	47.27093824	Unassessed	Unassessed
TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	TNFRSF25	-0.11785159	40.91566823	N	44.76632137
PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	PLEKHG5	1.146341385	94.49557215	N	58.38352204
NOL9	NOL9	NOL9	NOL9	NOL9	-0.177723518	36.87561498	N	66.96579138
TAS1R1	TAS1R1	TAS1R1	TAS1R1	TAS1R1	1.180983492	94.8486427	N	86.25632378
ZBTB48	ZBTB48	ZBTB48	ZBTB48	ZBTB48	-1.581048175	2.911385078	N	22.67525897
PHF13	PHF13	PHF13	PHF13	PHF13	-0.497789345	20.304451	N	13.75572151
THAP3	THAP3	THAP3	THAP3	THAP3	0.554705396	82.60114603	N	90.76728499
DNAJC11	DNAJC11	DNAJC11	DNAJC11	DNAJC11	-0.58863046	17.126816	N	12.48494339
VAMP3	VAMP3	VAMP3	VAMP3	VAMP3	-0.118961255	40.82305956	Y	62.81016623
PER3	PER3	PER3	PER3	PER3	0.225493277	65.97788968	N	55.60105999
UTS2	UTS2	UTS2	UTS2	UTS2	0.74788121	88.03611738	N	37.12960732
TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	TNFRSF9	0.478716768	79.67818487	N	72.84389304
PARK7	PARK7	PARK7	PARK7	PARK7	0.13438084	59.79626092	Y	73.72319923
ERRFI1	ERRFI1	ERRFI1	ERRFI1	ERRFI1	-0.166544931	37.66857672	N	45.92869188
RERE	RERE	RERE	RERE	RERE	-2.82790456	0.694565029	N	14.1411708
ENO1	ENO1	ENO1	ENO1	ENO1	-0.477040255	21.14950512	N	73.12695736
SLC2A7	SLC2A7	SLC2A7	SLC2A7	SLC2A7	1.131009411	94.33929502	N	79.31221392
SLC2A5	SLC2A5	SLC2A5	SLC2A5	SLC2A5	0.457312874	78.67106558	N	45.8383522
GPR157	GPR157	GPR157	GPR157	GPR157	0.383088549	75.0824796	N	63.21970609
H6PD	H6PD	H6PD	H6PD	H6PD	1.514215072	97.0307345	N	74.33750903
SPSB1	SPSB1	SPSB1	SPSB1	SPSB1	-0.61320898	16.38015859	Y	3.378703927
SLC25A33	SLC25A33	SLC25A33	SLC25A33	SLC25A33	-0.02031261	47.87868264	Y	47.13924356
PIK3CD	PIK3CD	PIK3CD	PIK3CD	PIK3CD	-1.248801485	5.128205128	N	8.238978559
CLSTN1	CLSTN1	CLSTN1	CLSTN1	CLSTN1	-1.358372311	4.231058633	N	42.66441821
CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	CTNNBIP1	0.122094661	58.87017422	Y	34.73259456
LZIC	LZIC	LZIC	LZIC	LZIC	-0.049519725	45.82392777	Y	95.1035895
NMNAT1	NMNAT1	NMNAT1	NMNAT1	NMNAT1	0.008742604	50.21705157	Y	85.55769694
RBP7	RBP7	RBP7	RBP7	RBP7	0.358518573	73.84962667	Y	98.21729704
UBE4B	UBE4B	UBE4B	UBE4B	UBE4B	-1.083574347	6.731492736	N	31.29366418
KIF1B	KIF1B	KIF1B	KIF1B	KIF1B	-2.165995102	1.348613764	N	42.51987473
PGD	PGD	PGD	PGD	PGD	-0.749069701	12.66423569	N	30.96241869
APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	APITD1-CORT	-0.207083847	35.09289807	Y	40.92989641
APITD1	APITD1	APITD1	APITD1	APITD1	0.124007879	59.04381548	Y	73.78944833
CORT	CORT	CORT	CORT	CORT	0.018964694	50.97528506	Y	41.00216815
DFFA	DFFA	DFFA	DFFA	DFFA	0.202058361	64.50772704	N	91.8754517
CASZ1	CASZ1	CASZ1	CASZ1	CASZ1	-0.712493261	13.59611044	N	35.50951578
TARDBP	TARDBP	TARDBP	TARDBP	TARDBP	-0.335593115	27.47004688	Y	4.625391472
MASP2	MASP2	MASP2	MASP2	MASP2	0.855292023	90.29924177	N	69.81450253
SRM	SRM	SRM	SRM	SRM	-0.054152096	45.51716154	Y	6.655022886
EXOSC10	EXOSC10	EXOSC10	EXOSC10	EXOSC10	-0.168962986	37.46599525	N	21.66947723
MTOR	MTOR	MTOR	MTOR	MTOR	-4.044939405	0.191005383	N	7.118766562
ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	ANGPTL7	0.029489373	51.73930659	N	81.90797398
UBIAD1	UBIAD1	UBIAD1	UBIAD1	UBIAD1	-0.42930414	23.16374371	N	50.16261142
FBXO2	FBXO2	FBXO2	FBXO2	FBXO2	0.027424541	51.61775771	Unassessed	Unassessed
FBXO44	FBXO44	FBXO44	FBXO44	FBXO44	0.906555705	91.21375239	N	66.11057576
FBXO6	FBXO6	FBXO6	FBXO6	FBXO6	0.330566867	72.36788794	N	34.22066972
MAD2L2	MAD2L2	MAD2L2	MAD2L2	MAD2L2	-0.184574695	36.47624009	Y	7.257287401
C1orf187	DRAXIN	DRAXIN	DRAXIN	DRAXIN	0.854987159	90.29345372	N	Unassessed
AGTRAP	AGTRAP	AGTRAP	AGTRAP	AGTRAP	0.598768956	84.07709672	N	65.93591906
MTHFR	MTHFR	MTHFR	MTHFR	MTHFR	0.097319489	56.92539214	N	29.91447844
CLCN6	CLCN6	CLCN6	CLCN6	CLCN6	-1.572450602	2.951901372	N	31.06480366
NPPA	NPPA	NPPA	NPPA	NPPA	0.612819541	84.5575042	N	87.87039268
NPPB	NPPB	NPPB	NPPB	NPPB	0.565887443	82.91948834	N	76.96338232
KIAA2013	KIAA2013	KIAA2013	KIAA2013	KIAA2013	-0.317561949	28.41928576	Unassessed	Unassessed
PLOD1	PLOD1	PLOD1	PLOD1	PLOD1	0.33661299	72.65729004	N	64.18332932
MIIP	MIIP	MIIP	MIIP	MIIP	1.209723165	95.11489263	N	68.13418453
TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8	TNFRSF8	0.000585754	49.48197025	N	47.06697181
TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B	TNFRSF1B	0.249946566	67.45384037	N	44.88677427
DHRS3	DHRS3	DHRS3	DHRS3	DHRS3	0.494679511	80.27435319	N	11.78631655
C1orf158	C1orf158	C1orf158	C1orf158	C1orf158	0.598768956	84.07709672	N	68.34497711
PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1	PRAMEF1	5.06355086	99.84951091	N	79.24596483
PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2	PRAMEF2	5.368222467	99.85529895	N	67.85714286
PRDM2	PRDM2	PRDM2	PRDM2	PRDM2	-0.366343679	26.07512878	N	65.7552397
KAZN	KAZN	KAZN	KAZN	KAZN	0.076572313	55.40892516	N	25.58419658
TMEM51	TMEM51	TMEM51	TMEM51	TMEM51	0.366169324	74.15639289	N	75.52999277
EFHD2	EFHD2	EFHD2	EFHD2	EFHD2	-0.025096816	47.5834925	Y	21.68152252
CTRC	CTRC	CTRC	CTRC	CTRC	0.541611524	82.1265266	Y	82.32955914
CELA2A	CELA2A	CELA2A	CELA2A	CELA2A	0.527561494	81.54772241	N	57.38376295
CASP9	CASP9	CASP9	CASP9	CASP9	0.112022239	58.14666898	N	36.48518429
AGMAT	AGMAT	AGMAT	AGMAT	AGMAT	0.177635945	63.02598831	N	34.50373404
RSC1A1	RSC1A1	RSC1A1	RSC1A1	RSC1A1	1.107540809	94.02095271	N	87.6596001
SLC25A34	SLC25A34	SLC25A34	SLC25A34	SLC25A34	0.33806995	72.74989871	N	85.75644423
FBLIM1	FBLIM1	FBLIM1	FBLIM1	FBLIM1	-0.166544931	37.66857672	N	64.21344254
SPEN	SPEN	SPEN	SPEN	SPEN	-2.636434944	0.845054118	N	42.38135389
ZBTB17	ZBTB17	ZBTB17	ZBTB17	ZBTB17	-0.888763627	9.822307114	N	4.926523729
C1orf64	C1orf64	C1orf64	C1orf64	C1orf64	0.621278951	84.78323783	Y	18.99542279
CLCNKA	CLCNKA	CLCNKA	CLCNKA	CLCNKA	0.774670312	88.64964982	N	49.33148639
CLCNKB	CLCNKB	CLCNKB	CLCNKB	CLCNKB	0.886424446	90.86646987	N	52.83666586
EPHA2	EPHA2	EPHA2	EPHA2	EPHA2	-0.046849448	46.06123748	N	28.76415322
ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	ARHGEF19	0.267974672	68.57093245	N	74.24114671
RSG1	RSG1	RSG1	RSG1	RSG1	0.418691306	76.76679979	N	92.38737654
SPATA21	SPATA21	SPATA21	SPATA21	SPATA21	1.96033828	98.51247323	N	67.59214647
NECAP2	NECAP2	NECAP2	NECAP2	NECAP2	0.253623009	67.679574	N	34.5519152
MFAP2	MFAP2	MFAP2	MFAP2	MFAP2	0.163436574	62.02465706	Y	32.96193688
ATP13A2	ATP13A2	ATP13A2	ATP13A2	ATP13A2	-1.134064911	6.210568965	N	27.35485425
SDHB	SDHB	SDHB	SDHB	SDHB	0.228244069	66.13416681	N	26.31895929
PADI2	PADI2	PADI2	PADI2	PADI2	0.347790268	73.27661052	N	25.90941942
PADI1	PADI1	PADI1	PADI1	PADI1	0.583258584	83.62562945	N	81.5104794
PADI3	PADI3	PADI3	PADI3	PADI3	2.147342454	98.77872316	N	90.26740544
PADI4	PADI4	PADI4	PADI4	PADI4	0.902228092	91.11535568	N	60.92507829
RCC2	RCC2	RCC2	RCC2	RCC2	-0.837350249	10.81785032	N	8.070344495
ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	ARHGEF10L	-0.549576654	18.21496788	N	36.10575765
ACTL8	ACTL8	ACTL8	ACTL8	ACTL8	0.461946007	78.93152746	N	30.09515779
IGSF21	IGSF21	IGSF21	IGSF21	IGSF21	-0.30431789	29.24697575	N	37.82823416
KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A	KLHDC7A	0.649987795	85.61671587	N	83.45579378
PAX7	PAX7	PAX7	PAX7	PAX7	-0.418777308	23.55733056	N	23.34979523
TAS1R2	TAS1R2	TAS1R2	TAS1R2	TAS1R2	0.831189625	89.81883429	N	41.37557215
ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1	ALDH4A1	0.479017244	79.71291312	N	50.66851361
UBR4	UBR4	UBR4	UBR4	UBR4	-8.191159789	0.005788042	N	19.7301855
EMC1	EMC1	EMC1	EMC1	EMC1	-0.399649431	24.44290097	Unassessed	Unassessed
MRTO4	MRTO4	MRTO4	MRTO4	MRTO4	-0.127268446	40.25583145	N	36.17802939
AKR7A3	AKR7A3	AKR7A3	AKR7A3	AKR7A3	1.184341243	94.90652312	N	55.16742954
AKR7A2	AKR7A2	AKR7A2	AKR7A2	AKR7A2	0.795915884	89.11848122	N	69.3567815
PQLC2	PQLC2	PQLC2	PQLC2	PQLC2	-0.328892939	27.7768131	N	14.32185016
NBL1	NBL1	NBL1	NBL1	NBL1	-0.003544497	49.14626382	Y	15.48422067
HTR6	HTR6	HTR6	HTR6	HTR6	-0.300642103	29.41482896	N	20.70585401
TMCO4	TMCO4	TMCO4	TMCO4	TMCO4	1.752269113	98.066794	N	64.40014454
RNF186	RNF186	RNF186	RNF186	RNF186	0.958125007	92.15141518	N	85.77451217
PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E	PLA2G2E	0.421412982	76.87677259	Y	14.91206938
PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A	PLA2G2A	0.351971606	73.48498003	Y	46.85015659
PLA2G5	PLA2G5	PLA2G5	PLA2G5	PLA2G5	-0.291531924	29.91838861	Y	33.52204288
PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D	PLA2G2D	0.422369205	76.96359322	N	44.23030595
PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F	PLA2G2F	0.294815417	70.1800081	Y	41.82727054
UBXN10	UBXN10	UBXN10	UBXN10	UBXN10	0.335200382	72.59362158	Y	98.31365936
CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	CAMK2N1	0.090168851	56.43919662	N	Unassessed
MUL1	MUL1	MUL1	MUL1	MUL1	-0.110348593	41.44238004	N	52.39099012
CDA	CDA	CDA	CDA	CDA	0.321958851	71.87011634	N	47.66923633
PINK1	PINK1	PINK1	PINK1	PINK1	0.613117004	84.56329224	N	69.83257046
DDOST	DDOST	DDOST	DDOST	DDOST	-0.500506623	20.165538	N	40.37581306
KIF17	KIF17	KIF17	KIF17	KIF17	1.2760016	95.60108815	N	78.74608528
EIF4G3	EIF4G3	EIF4G3	EIF4G3	EIF4G3	-1.181952709	5.776465822	N	48.72922187
ECE1	ECE1	ECE1	ECE1	ECE1	-0.070616959	44.38270533	N	41.5020477
NBPF3	NBPF3	NBPF3	NBPF3	NBPF3	1.53447182	97.1407073	N	96.44061672
ALPL	ALPL	ALPL	ALPL	ALPL	-0.578256721	17.40464201	N	26.19248374
RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	RAP1GAP	-0.629822514	15.88817503	N	19.98915924
CELA3B	CELA3B	CELA3B	CELA3B	CELA3B	1.667489557	97.79475603	N	82.20910624
CELA3A	CELA3A	CELA3A	CELA3A	CELA3A	1.052950347	93.40163223	N	28.17995664
CDC42	CDC42	CDC42	CDC42	CDC42	-0.11145818	41.38449962	Y	0.415562515
WNT4	WNT4	WNT4	WNT4	WNT4	-0.306383832	29.09069862	N	5.932305469
ZBTB40	ZBTB40	ZBTB40	ZBTB40	ZBTB40	-1.201731911	5.556520229	N	68.05589015
EPHA8	EPHA8	EPHA8	EPHA8	EPHA8	-0.307552508	29.00387799	N	59.4314623
C1QA	C1QA	C1QA	C1QA	C1QA	0.149386991	60.95386931	Y	46.79595278
C1QC	C1QC	C1QC	C1QC	C1QC	-0.357145068	26.46871563	N	42.09828957
C1QB	C1QB	C1QB	C1QB	C1QB	-0.181703531	36.63251722	N	5.763671404
EPHB2	EPHB2	EPHB2	EPHB2	EPHB2	-1.11359062	6.424726515	N	15.37581306
HTR1D	HTR1D	HTR1D	HTR1D	HTR1D	0.226480797	66.06471031	N	58.90146953
HNRNPR	HNRNPR	HNRNPR	HNRNPR	HNRNPR	-0.820428635	11.15934479	Y	2.836665864
ZNF436	ZNF436	ZNF436	ZNF436	ZNF436	-0.296009812	29.68107889	N	91.05034931
ASAP3	ASAP3	ASAP3	ASAP3	ASAP3	-0.157783196	38.16634832	N	64.50252951
E2F2	E2F2	E2F2	E2F2	E2F2	-0.493003504	20.4838803	N	56.23946037
ID3	ID3	ID3	ID3	ID3	0.157846676	61.58476587	N	35.59985546
RPL11	RPL11	RPL11	RPL11	RPL11	-0.186488904	36.36626729	Y	1.318959287
TCEB3	TCEB3	TCEB3	TCEB3	TCEB3	0.196620018	64.18938473	N	65.18308841
PITHD1	PITHD1	PITHD1	PITHD1	PITHD1	-0.133967403	39.81015223	Unassessed	Unassessed
LYPLA2	LYPLA2	LYPLA2	LYPLA2	LYPLA2	-0.320586962	28.25722058	Y	2.445193929
GALE	GALE	GALE	GALE	GALE	-0.265997742	31.51588818	N	62.49096603
HMGCL	HMGCL	HMGCL	HMGCL	HMGCL	-0.452770663	22.14504833	N	11.26234642
FUCA1	FUCA1	FUCA1	FUCA1	FUCA1	0.134531237	59.82520113	N	54.63743676
CNR2	CNR2	CNR2	CNR2	CNR2	-0.138446759	39.5439023	N	19.56757408
IL22RA1	IL22RA1	IL22RA1	IL22RA1	IL22RA1	0.062523198	54.31498524	N	41.74295351
IL28RA	IFNLR1	IFNLR1	IFNLR1	IFNLR1	-0.302555896	29.33379638	N	Unassessed
GRHL3	GRHL3	GRHL3	GRHL3	GRHL3	0.892654271	91.00538288	N	66.53216093
C1orf201	STPG1	STPG1	STPG1	STPG1	0.79304674	89.03744863	N	Unassessed
RCAN3	RCAN3	RCAN3	RCAN3	RCAN3	0.379262743	74.89726226	Y	13.46663455
SRRM1	SRRM1	SRRM1	SRRM1	SRRM1	-0.529262888	19.04265787	N	34.76873043
CLIC4	CLIC4	CLIC4	CLIC4	CLIC4	-0.38061162	25.41529201	Y	19.89279692
RUNX3	RUNX3	RUNX3	RUNX3	RUNX3	-0.277328762	30.80974706	N	13.53890629
SYF2	SYF2	SYF2	SYF2	SYF2	0.136294125	59.95253806	N	34.51577933
C1orf63	C1orf63	C1orf63	C1orf63	C1orf63	0.240530179	66.90397638	N	72.74753072
RHD	RHD	RHD	RHD	RHD	2.333874528	99.02182092	N	80.5227656
TMEM50A	TMEM50A	TMEM50A	TMEM50A	TMEM50A	0.396990911	75.66707183	Y	20.31438208
MAN1C1	MAN1C1	MAN1C1	MAN1C1	MAN1C1	-0.623275987	16.07339237	N	35.19633823
C1orf135	AUNIP	AUNIP	AUNIP	AUNIP	0.396181853	75.63234358	N	Unassessed
PAQR7	PAQR7	PAQR7	PAQR7	PAQR7	0.218021088	65.55536262	N	51.66225006
STMN1	STMN1	STMN1	STMN1	STMN1	-0.022378042	47.78028593	Y	5.745603469
PAFAH2	PAFAH2	PAFAH2	PAFAH2	PAFAH2	0.478865545	79.695549	N	87.90652855
EXTL1	EXTL1	EXTL1	EXTL1	EXTL1	0.912447063	91.3121491	N	80.52878824
SLC30A2	SLC30A2	SLC30A2	SLC30A2	SLC30A2	0.246119954	67.25704694	N	53.43893038
TRIM63	TRIM63	TRIM63	TRIM63	TRIM63	0.196468728	64.17780865	N	54.85425199
PDIK1L	PDIK1L	PDIK1L	PDIK1L	PDIK1L	-0.336550417	27.43531863	Y	0.319200193
ZNF593	ZNF593	ZNF593	ZNF593	ZNF593	0.098628637	57.02378885	Unassessed	Unassessed
CNKSR1	CNKSR1	CNKSR1	CNKSR1	CNKSR1	0.602896139	84.20443364	N	82.76921224
CEP85	CEP85	CEP85	CEP85	CEP85	-0.033101966	47.07414482	N	63.19561551
SH3BGRL3	SH3BGRL3	SH3BGRL3	SH3BGRL3	SH3BGRL3	0.319090009	71.70805117	Y	32.49819321
ZNF683	ZNF683	ZNF683	ZNF683	ZNF683	1.021171743	93.04856167	N	43.83281137
LIN28A	LIN28A	LIN28A	LIN28A	LIN28A	0.08936246	56.39289228	Y	90.72512648
DHDDS	DHDDS	DHDDS	DHDDS	DHDDS	0.123201392	58.99751114	N	67.20067454
HMGN2	HMGN2	HMGN2	HMGN2	HMGN2	-0.044887353	46.22330266	Y	15.53842448
RPS6KA1	RPS6KA1	RPS6KA1	RPS6KA1	RPS6KA1	-0.735825246	13.00573016	N	7.160925078
ARID1A	ARID1A	ARID1A	ARID1A	ARID1A	-2.812819468	0.706141112	N	24.40375813
PIGV	PIGV	PIGV	PIGV	PIGV	-0.437610849	22.86276553	N	82.86557456
SFN	SFN	SFN	SFN	SFN	0.165349748	62.17514615	Y	69.12189834
GPN2	GPN2	GPN2	GPN2	GPN2	-0.200384589	35.4691208	N	88.87015177
GPATCH3	GPATCH3	GPATCH3	GPATCH3	GPATCH3	-0.029426144	47.35197083	N	91.32739099
NR0B2	NR0B2	NR0B2	NR0B2	NR0B2	0.670123656	86.20709614	N	91.93567815
NUDC	NUDC	NUDC	NUDC	NUDC	-0.03627546	46.84841118	N	42.94145989
C1orf172	C1orf172	C1orf172	C1orf172	C1orf172	0.053911889	53.6319963	N	55.9503734
FAM46B	FAM46B	FAM46B	FAM46B	FAM46B	-0.393549347	24.76703131	N	72.83787039
SLC9A1	SLC9A1	SLC9A1	SLC9A1	SLC9A1	-0.939375127	8.867280199	N	10.76848952
WDTC1	WDTC1	WDTC1	WDTC1	WDTC1	-0.171177353	37.31550616	N	10.14815707
TMEM222	TMEM222	TMEM222	TMEM222	TMEM222	0.202865163	64.54245529	Y	51.493616
SYTL1	SYTL1	SYTL1	SYTL1	SYTL1	0.636432699	85.26364531	N	56.30570947
MAP3K6	MAP3K6	MAP3K6	MAP3K6	MAP3K6	0.049887589	53.37732245	N	60.58178752
FCN3	FCN3	FCN3	FCN3	FCN3	1.254600192	95.47375123	N	62.58130571
CD164L2	CD164L2	CD164L2	CD164L2	CD164L2	0.079946001	55.69832726	Y	21.98867743
GPR3	GPR3	GPR3	GPR3	GPR3	-0.17883254	36.80037043	Y	16.63454589
WASF2	WASF2	WASF2	WASF2	WASF2	-0.227525777	33.90056144	N	42.15249338
FGR	FGR	FGR	FGR	FGR	-0.729431296	13.17937142	N	12.58732835
FAM76A	FAM76A	FAM76A	FAM76A	FAM76A	0.119374702	58.69074492	Y	57.41989882
STX12	STX12	STX12	STX12	STX12	-0.056065882	45.38982462	Y	85.0457721
PPP1R8	PPP1R8	PPP1R8	PPP1R8	PPP1R8	-0.085121135	43.16142849	Y	2.517465671
RPA2	RPA2	RPA2	RPA2	RPA2	-0.167654501	37.52966371	Y	88.84003854
XKR8	XKR8	XKR8	XKR8	XKR8	-0.15536658	38.37471783	N	89.98434112
EYA3	EYA3	EYA3	EYA3	EYA3	-0.510881113	19.77773919	N	31.17923392
PTAFR	PTAFR	PTAFR	PTAFR	PTAFR	0.094146026	56.71123459	N	32.94989159
ATPIF1	ATPIF1	ATPIF1	ATPIF1	ATPIF1	-0.125507302	40.39474446	Y	99.8795471
SESN2	SESN2	SESN2	SESN2	SESN2	0.12989848	59.41425016	N	32.84750662
MED18	MED18	MED18	MED18	MED18	-0.117047237	40.96776061	Y	54.30016863
RCC1	RCC1	RCC1	RCC1	RCC1	-0.750983967	12.57162702	N	7.215128885
TRNAU1AP	TRNAU1AP	TRNAU1AP	TRNAU1AP	TRNAU1AP	-0.500661427	20.13080975	Y	17.40544447
RAB42	RAB42	RAB42	RAB42	RAB42	0.160566904	61.79892342	N	99.67477716
TAF12	TAF12	TAF12	TAF12	TAF12	0.275027119	68.98767147	Y	48.41002168
GMEB1	GMEB1	GMEB1	GMEB1	GMEB1	-0.80542189	11.43717081	N	46.08528066
OPRD1	OPRD1	OPRD1	OPRD1	OPRD1	-0.248273713	32.55773572	Y	12.74391713
EPB41	EPB41	EPB41	EPB41	EPB41	-0.289161662	30.12675812	N	63.46663455
SRSF4	SRSF4	SRSF4	SRSF4	SRSF4	-0.302555896	29.33379638	N	37.29824139
PTPRU	PTPRU	PTPRU	PTPRU	PTPRU	-1.496090285	3.386004515	N	25.33726813
MATN1	MATN1	MATN1	MATN1	MATN1	0.199338946	64.3514499	N	43.80269815
LAPTM5	LAPTM5	LAPTM5	LAPTM5	LAPTM5	0.387722289	75.27927302	N	73.20525175
PUM1	PUM1	PUM1	PUM1	PUM1	-1.477754114	3.472825143	N	10.3649723
NKAIN1	NKAIN1	NKAIN1	NKAIN1	NKAIN1	0.017051112	50.83058401	Y	21.35629969
SNRNP40	SNRNP40	SNRNP40	SNRNP40	SNRNP40	-0.560686665	17.89662557	Y	8.124548302
ZCCHC17	ZCCHC17	ZCCHC17	ZCCHC17	ZCCHC17	-0.197666633	35.6485501	Y	92.19465189
